rule_id,rule_text
R140,grant read{approval_status} on nodes (t:Treatment) to Nurse;
R141,deny read{*} on nodes (t:Treatment) to Nurse;
R301,grant create on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;
R143,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;
R144,grant create on nodes (e:Document) to Nurse;
R145,grant traverse on nodes (e:Document) to Nurse;
R146,deny traverse on nodes (e:Document) to Nurse;
R300,deny create on nodes (e:Document) to Nurse;




R158,grant create on nodes (e:Document) to Y;
R159,grant traverse on nodes (e:Document) to Y;
R160,deny traverse on nodes (e:Document) to Y;
R312,deny create on nodes (e:Document) to Y;

R163,deny traverse on relationships (*) to X;
R164,grant create on nodes (*) where e.level < 5 to X;
R165,grant traverse on nodes (e:Project) to X;
R166,deny traverse on nodes (*) to X;
R167,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to W;


R170,grant delete on nodes (d:Document) where d.status = archived to EditorEditor;


R173,grant modify{*} on nodes (p:Post) to ModeratorModerator;
R174,deny modify{*} on nodes (c:Customer) to SupportSupport;

R176,grant remove{phone} on nodes (c:Customer) to SupportSupport;
R177,deny modify{role} on nodes (u:User) to IT_SupportIT_Support;
R178,grant add{role} on nodes (u:User) to IT_SupportIT_Support;
R179,grant remove{role} on nodes (u:User) to IT_SupportIT_Support;





R185,grant create on nodes (e:Document) to YY;
R186,grant traverse on nodes (e:Document) to YY;
R187,deny traverse on nodes (e:Document) to YY;
R313,deny create on nodes (e:Document) to YY;

R190,deny traverse on relationships (*) to XX;
R191,grant create on nodes (*) where e.level < 5 to XX;
R192,grant traverse on nodes (e:Project) to XX;
R193,deny traverse on nodes (*) to XX;
R194,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to WW;


R197,grant delete on nodes (d:Document) where d.status = archived to Editor_Editor;


R200,grant modify{*} on nodes (p:Post) to Moderator_Moderator;
R201,deny modify{*} on nodes (c:Customer) to Support_Support;

R203,grant remove{phone} on nodes (c:Customer) to Support_Support;
R204,deny modify{role} on nodes (u:User) to IT_Support_IT_Support;
R205,grant add{role} on nodes (u:User) to IT_Support_IT_Support;
R206,grant remove{role} on nodes (u:User) to IT_Support_IT_Support;





R207,grant delete on nodes (e:Event) where e.status = "critical" to alpha_SeniorDoctor;

R209,deny create on nodes (p:Patient) where p.age < 18 to alpha_Intern;
R210,grant modify{*} on nodes (p:Patient) to alpha_Intern;
R505,grant create on nodes (p:Patient) to alpha_Intern;
R212,grant traverse on nodes (p:Patient) where p.condition = "stable" to alpha_Intern;

R214,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to alpha_Intern;
R506,deny modify{condition} on nodes (p:Patient) to alpha_Intern;
R507,deny modify{status} on nodes (p:Patient) to alpha_Intern;
R508,deny modify{age} on nodes (p:Patient) to alpha_Intern;
R215,grant delete on relationships (t:TREATS) where t.priority >= 5 to alpha_HeadPhysician;
R216,grant add{*} on relationships (t:TREATS) to alpha_HeadPhysician;
R217,grant traverse on relationships (t:TREATS) where t.status = "active" to alpha_HeadPhysician;
R258,grant read{*} on relationships (t:TREATS) to alpha_HeadPhysician;
R510,deny add{status} on relationships (t:TREATS) to alpha_HeadPhysician;
R511,deny add{priority} on relationships (t:TREATS) to alpha_HeadPhysician;

R220,grant modify{cost} on nodes (t:Treatment) to alpha_BillingManager;
R221,grant delete on nodes (t:Treatment) where t.approved = "no" to alpha_BillingManager;

R223,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to alpha_Doctor;
R505,deny modify{dosage} on relationships (p:PRESCRIBES) to alpha_Doctor;
R225,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to alpha_Doctor;
R226,grant modify{*} on relationships (p:PRESCRIBES) to alpha_Doctor;
R509,deny modify{frequency} on relationships (p:PRESCRIBES) to alpha_Doctor;
R227,deny modify{diagnosis} on nodes (p:Patient) to alpha_Nurse;

R229,grant read{diagnosis} on nodes (p:Patient) to alpha_Nurse;
R230,grant remove{diagnosis} on nodes (p:Patient) to alpha_Nurse;
R231,deny modify{*} on nodes (m:MedicalRecord) to alpha_Intern;
R233,grant remove{notes} on nodes (m:MedicalRecord) to alpha_Intern;
R234,grant read{notes} on nodes (m:MedicalRecord) to alpha_Intern;

R237,deny traverse on nodes (*) to alpha_MedicalSecretary;
R238,grant traverse on nodes (m:MedicalRecord) to alpha_MedicalSecretary;

R502,grant create on nodes (p:Patient) where p.age >= 65 to alpha_SeniorDoctor;
R241,grant traverse on nodes (p:Patient) where p.age >= 0 to alpha_SeniorDoctor;

R243,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to alpha_DepartmentHead;


R246,grant read{approval_status} on nodes (t:Treatment) to alpha_Nurse;
R247,deny read{*} on nodes (t:Treatment) to alpha_Nurse;
R101,grant create on relationships (r:WORKS_ON) where r.year > 2020 to alpha_Nurse;
R249,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to alpha_Nurse;
R250,grant create on nodes (e:Document) to alpha_Nurse;
R251,grant traverse on nodes (e:Document) to alpha_Nurse;
R252,deny traverse on nodes (e:Document) to alpha_Nurse;
R500,deny create on nodes (e:Document) to alpha_Nurse;



R259,grant delete on nodes (e:Event) where e.status = "critical" to beta_SeniorDoctor;

R261,deny create on nodes (p:Patient) where p.age < 18 to beta_Intern;
R262,grant modify{*} on nodes (p:Patient) to beta_Intern;
R610,grant create on nodes (p:Patient) to Intern;
R264,grant traverse on nodes (p:Patient) where p.condition = "stable" to beta_Intern;

R266,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to beta_Intern;
R606,deny modify{condition} on nodes (p:Patient) to Intern;
R607,deny modify{status} on nodes (p:Patient) to Intern;
R608,deny modify{age} on nodes (p:Patient) to Intern;

R267,grant delete on relationships (t:TREATS) where t.priority >= 5 to beta_HeadPhysician;
R268,grant add{*} on relationships (t:TREATS) to beta_HeadPhysician;
R269,grant traverse on relationships (t:TREATS) where t.status = "active" to beta_HeadPhysician;
R270,grant modify{status} on relationships (t:TREATS) to beta_HeadPhysician;
R612,deny add{status} on relationships (t:TREATS) to beta_HeadPhysician;
R611,deny add{priority} on relationships (t:TREATS) to beta_HeadPhysician;


R272,grant modify{cost} on nodes (t:Treatment) to beta_BillingManager;
R273,grant delete on nodes (t:Treatment) where t.approved = "no" to beta_BillingManager;

R275,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to beta_Doctor;
R605,deny modify{dosage} on relationships (p:PRESCRIBES) to beta_Doctor;
R277,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to beta_Doctor;
R278,grant modify{*} on relationships (p:PRESCRIBES) to beta_Doctor;
R609,deny modify{frequency} on relationships (p:PRESCRIBES) to beta_Doctor;

R279,deny modify{diagnosis} on nodes (p:Patient) to beta_Nurse;
R281,grant read{diagnosis} on nodes (p:Patient) to beta_Nurse;
R282,grant remove{diagnosis} on nodes (p:Patient) to beta_Nurse;

R283,deny modify{*} on nodes (m:MedicalRecord) to beta_Intern;
R285,grant remove{notes} on nodes (m:MedicalRecord) to beta_Intern;
R286,grant read{notes} on nodes (m:MedicalRecord) to beta_Intern;



R289,deny traverse on nodes (*) to beta_Medical_Secretary;
R290,grant traverse on nodes (m:MedicalRecord) to beta_Medical_Secretary;

R292,grant create on nodes (p:Patient) where p.age >= 65 to beta_Senior_Doctor;
R293,grant traverse on nodes (p:Patient) where p.age >= 0 to beta_Senior_Doctor;


R295,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to beta_Department_Head;


R298,grant read{approval_status} on nodes (t:Treatment) to beta_Nurse;
R299,deny read{*} on nodes (t:Treatment) to beta_Nurse;
R613,grant create on relationships (r:WORKS_ON) where r.year > 2020 to beta_Nurse;
R301,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to beta_Nurse;
R302,grant create on nodes (e:Document) to beta_Nurse;
R303,grant traverse on nodes (e:Document) to beta_Nurse;
R304,deny traverse on nodes (e:Document) to beta_Nurse;
R614,deny create on nodes (e:Document) to beta_Nurse;


R310,grant read{*} on relationships (t:TREATS) to beta_HeadPhysician;
